model,regime,seed,cp_method,median_sharpe,active_share,median_cap_ratio
lgbm_const,G,42,pid_local_cqr,0.0724925160460454,0.01732283464566929,0.6338839427740997
lgbm_const,G,42,pid_tan_cqr,0.2760550967718633,0.03622047244094488,0.7966919188271411
lgbm_const,G,42,saocp_cqr,,0.0,
lgbm_const,G,42,sfogd_cqr,0.2887208034072445,0.029921259842519688,0.6649357756427985
lgbm_const,G,42,spci_cqr,0.23341317386010307,0.02283464566929134,0.6330290417358713
lgbm_const,L,42,aci_cqr,0.30738931174713585,0.007874015748031496,0.6755093892191029
lgbm_const,L,42,agaci_cqr,0.10541854929200195,0.010236220472440945,0.6492336306572462
lgbm_const,L,42,cqr_rolling,0.32716672872646396,0.005511811023622047,0.6929449063564481
lgbm_const,L,42,cqr_static,,0.0,
lgbm_const,L,42,decay_ocp_cqr,0.3073893117471359,0.0007874015748031496,
lgbm_const,L,42,dtaci_cqr,0.3073893117471358,0.005511811023622047,0.6772857205910918
lgbm_const,L,42,mondrian_cqr,-0.00894691576328871,0.004724409448818898,0.778400109702786
lgbm_const,L,42,native,0.3073893117471358,0.0007874015748031496,
lgbm_const,L,42,pid_cqr,-0.010441531490620083,0.007874015748031496,0.6601163833668322
lgbm_const,L,42,pid_local_cqr,0.22455498366942064,0.015748031496062992,0.7043059881631542
lgbm_const,L,42,pid_tan_cqr,-0.0814370065574104,0.03937007874015748,
lgbm_const,L,42,saocp_cqr,0.3073893117471358,0.0007874015748031496,
lgbm_const,L,42,sfogd_cqr,-0.03642791608109489,0.026771653543307083,0.7031504927494041
lgbm_const,L,42,spci_cqr,0.3073893117471359,0.023622047244094488,0.6720553623983542
lstm,G,42,aci_cqr,0.09869011406077732,0.025196850393700787,0.7061058524526326
lstm,G,42,agaci_cqr,0.11712194063558029,0.02204724409448819,0.6716668339216156
lstm,G,42,cqr_rolling,0.10707403475834135,0.025196850393700787,
lstm,G,42,cqr_static,,0.0,
lstm,G,42,decay_ocp_cqr,,0.0,
lstm,G,42,dtaci_cqr,0.19477859350698168,0.01732283464566929,0.6892520074415658
lstm,G,42,mondrian_cqr,0.18372126516703552,0.002362204724409449,
lstm,G,42,native,,0.0,
lstm,G,42,pid_cqr,0.31038715816662155,0.014960629921259844,0.6802156282923555
lstm,G,42,pid_local_cqr,0.22341561672807936,0.01968503937007874,0.6593141671989788
lstm,G,42,pid_tan_cqr,0.299478928494945,0.025984251968503937,
lstm,G,42,saocp_cqr,,0.0,
lstm,G,42,sfogd_cqr,0.3073893117471359,0.024409448818897637,0.6809087474321918
